locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
10479,CBD,Adelaide,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,6.5,µg/m³,-34.92889,138.6010841
7666,Port Augusta,Port Augusta,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,13.3,µg/m³,-32.5100065,137.7868467
10480,Christies,Adelaide,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,3,µg/m³,-35.1349443,138.4951966
10477,Le Fevre 1,Adelaide,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,17,µg/m³,-34.8386688,138.4963475
7657,Whyalla Schulz Res,Whyalla,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,11.3,µg/m³,-33.023596,137.5332255
10476,Le Fevre 2,Adelaide,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,13,µg/m³,-34.79128,138.4978642
10478,Netley,Adelaide,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,19,µg/m³,-34.9438035,138.549098
10483,Whyalla Walls St,Whyalla,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,17.2,µg/m³,-33.0361164,137.5860979
10481,Port Pirie Oliver St,Port Pirie,AU,2020-03-31T13:30:00+00:00,2020-04-01T00:00:00+10:30,pm10,4.2,µg/m³,-33.1947947,138.0198974
6464,Mountain Creek,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,13,µg/m³,-26.6917,153.104
6456,Brisbane CBD,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,14.9,µg/m³,-27.4774,153.028
10819,Yinnar,Yinnar,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,10.5,µg/m³,-38.32676,146.326
6453,Targinie,Gladstone,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,11.8,µg/m³,-23.7744,151.105
6461,Springwood,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,10.6,µg/m³,-27.6125,153.136
10734,Miles Airport,South West Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,9.5,µg/m³,-26.8088,150.1799
6050,Southport,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,10.8,µg/m³,-27.9612,153.402
7042,Lennon Drive,Townsville,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,18.9,µg/m³,-19.2589,146.826
6476,Moranbah (Utah Dr),Central Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,21.7,µg/m³,-21.9995,148.071
6450,The Gap,Mount Isa,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,15.4,µg/m³,-20.7264,139.498
6468,Woolloongabba,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,14.6,µg/m³,-27.4975,153.035
6473,Wynnum West,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,12.8,µg/m³,-27.4379,153.15
10688,Mooroolbark,Melbourne,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,9.2,µg/m³,-37.7749672,145.3285
6460,Clinton,Gladstone,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,14.5,µg/m³,-23.8701,151.222
9075,Florey,Canberra,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,9.42,µg/m³,-35.220606,149.043539
6472,Coastguard,Townsville,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,22.8,µg/m³,-19.2526,146.827
7043,Blackwater,Central Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,12.5,µg/m³,-23.5627,148.881
6454,South Gladstone,Gladstone,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,9.6,µg/m³,-23.8626,151.27
10678,Morwell East,Morwell,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,10.8,µg/m³,-38.229393,146.424454
9466,Civic,Canberra,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,11.42,µg/m³,-35.285307,149.131579
6466,Rocklea,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,10.9,µg/m³,-27.5358,152.993
10494,Alphington,Melbourne,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,13.2,µg/m³,-37.7784081,145.0306
6906,North Ward,Townsville,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,19.2,µg/m³,-19.2509,146.807
6455,Wynnum,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,13.1,µg/m³,-27.4296,153.158
6459,Flinders View,South East Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,15.3,µg/m³,-27.6528,152.774
10826,Brooklyn,Melbourne,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,16.7,µg/m³,-37.8220978,144.8471
10869,Geelong South,Geelong,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,15.9,µg/m³,-38.17356,144.3703
6467,Auckland Point,Gladstone,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,30.5,µg/m³,-23.8351,151.254
6465,West Mackay,Central Queensland,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,17.3,µg/m³,-21.1595,149.155
6458,Boyne Island,Gladstone,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,13,µg/m³,-23.9408,151.351
6451,Fisherman's Landing,Gladstone,AU,2020-03-31T13:00:00+00:00,2020-03-31T23:00:00+10:00,pm10,0,µg/m³,-23.7937,151.16
10584,Footscray,Melbourne,AU,2020-03-31T13:00:00+00:00,2020-04-01T00:00:00+11:00,pm10,24.1,µg/m³,-37.8037071,144.869339
